timestamp,active_addresses,average_transaction_value,block_height,block_size,block_time,current_supply,difficulty,hashrate,large_transaction_count,new_addresses,transaction_count,transaction_count_all_time,unique_addresses_all_time,zero_balance_addresses_all_time
2018-03-28,548051,6.568741992370371,515597.0,724552.0,627.231343283582,16944952.295297302,3462542391191.56,23709762.738144502,8693,261092,177521,307241184,386094611,352214330
2018-03-29,570132,4.39747142869103,515749.0,679723.0,556.6423841059599,16946852.295297302,3462542391191.56,26716446.2423518,9227,276520,192411,307433595,386371131,352457254
2018-03-30,575601,6.8870708800175295,515911.0,625428.0,530.32298136646,16948877.295297302,3462542391191.56,28042356.929097496,9818,265701,185940,307619535,386636832,352678157
2018-03-31,483684,6.048362995310769,516039.0,676326.0,667.259842519685,16950477.295297302,3462542391191.56,22287428.9497538,6874,214064,148617,307768152,386850896,352903913
2018-04-01,427489,6.218494404205309,516201.0,453174.0,530.391304347826,16952502.295297302,3494288842679.62,28295818.9153203,5988,197905,135129,307903281,387048801,353079052
2018-04-02,498636,8.65794132945243,516357.0,566611.0,546.1677419354841,16954452.295297302,3511060552899.72,27610364.163105898,8118,243270,168178,308071459,387292071,353286426
2018-04-03,599016,6.61003879927166,516520.0,675785.0,531.234567901235,16956489.795297302,3511060552899.72,28386500.3524838,9328,290235,198919,308270378,387582306,353562136
2018-04-04,572121,7.643528054367349,516667.0,723346.0,589.308219178082,16958327.295297302,3511060552899.72,25589139.5338286,8900,271350,185710,308456088,387853656,353805283
2018-04-05,539742,5.732417525613751,516823.0,646244.0,555.4774193548391,16960277.295297302,3511060552899.72,27147620.629646104,8678,265785,181832,308637920,388119441,354042665
2018-04-06,643506,7.25756870096391,516961.0,824647.0,628.131386861314,16962002.295297302,3511060552899.72,24007541.3590333,8465,261542,172889,308810809,388380983,354281561
2018-04-07,504278,4.810096249722969,517141.0,538825.0,473.18994413407796,16964252.295297302,3511060552899.72,31868577.166354805,5887,219715,154639,308965448,388600698,354511912
2018-04-08,410502,5.283685932065111,517302.0,431451.0,530.0,16966264.795297302,3511060552899.72,28452623.111283,5283,200074,138535,309103983,388800772,354674502
2018-04-09,549006,6.849102332362221,517449.0,738487.0,586.5273972602739,16968102.295297302,3511060552899.72,25710461.812047698,8163,254398,176563,309280546,389055170,354927303
2018-04-10,571412,5.054052694185611,517613.0,683104.0,528.300613496932,16970152.295297302,3511060552899.72,28544146.767430395,8538,272300,186415,309466961,389327470,355173313
2018-04-11,543094,5.50348051639887,517774.0,638290.0,532.8,16972164.795297302,3511060552899.72,28303097.3141516,8502,266358,183248,309650209,389593828,355415485
2018-04-12,625416,10.131609364928401,517928.0,825766.0,555.4771241830069,16974089.795297302,3511060552899.72,27147635.0554659,11697,300156,210879,309861088,389893984,355702689
2018-04-13,654807,5.74065723237309,518093.0,722759.0,521.304878048781,16976152.295297302,3511060552899.72,28927199.5793005,12255,318436,217282,310078370,390212420,355972542
2018-04-14,497549,4.28247291697837,518230.0,798910.0,618.661764705882,16977864.795297302,3796188328005.3,26354472.9097506,7444,241899,161843,310240213,390454319,356174029
2018-04-15,591039,4.31574263256592,518393.0,847521.0,527.5246913580249,16979902.295297302,3839316899029.67,31258708.436684698,7814,268085,174031,310414244,390722404,356440500
2018-04-16,742491,6.94449938606131,518534.0,967547.0,607.15,16981664.795297302,3839316899029.67,27159253.1010666,9312,291785,196106,310610350,391014189,356848892
